epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,364.197,0.28139,0.22757,0.82167,0.99867,0.9965,0.995,0.98836,0.23306,0.21432,0.77087,0.000990365,0.000990365,0.000990365
43,372.03,0.28271,0.23256,0.83492,0.99957,0.9965,0.995,0.98542,0.24695,0.2201,0.77014,0.000973861,0.000973861,0.000973861
44,379.868,0.28842,0.23094,0.82304,0.99428,0.9965,0.99497,0.98927,0.22635,0.20768,0.77003,0.000957358,0.000957358,0.000957358
45,388.165,0.27047,0.21768,0.81812,0.99197,0.99499,0.995,0.98992,0.21525,0.20851,0.76834,0.000940855,0.000940855,0.000940855
46,396.656,0.26496,0.21575,0.81435,0.99844,0.9961,0.995,0.99129,0.22618,0.20901,0.77136,0.000924352,0.000924352,0.000924352
47,405.198,0.26674,0.21446,0.81897,0.99768,0.99592,0.995,0.98816,0.21821,0.19829,0.76768,0.000907848,0.000907848,0.000907848
48,413.768,0.26626,0.21237,0.8185,0.9992,0.9965,0.995,0.99169,0.20384,0.19537,0.76692,0.000891345,0.000891345,0.000891345
49,421.936,0.26101,0.21548,0.81443,0.99896,0.9965,0.995,0.99217,0.19768,0.20524,0.76884,0.000874842,0.000874842,0.000874842
50,429.887,0.24876,0.21047,0.81107,0.99864,0.99513,0.995,0.98955,0.21593,0.19303,0.77051,0.000858338,0.000858338,0.000858338
51,437.731,0.26307,0.21178,0.81474,0.99427,0.9965,0.995,0.99045,0.20418,0.19378,0.76612,0.000841835,0.000841835,0.000841835
52,445.551,0.26477,0.21202,0.82009,0.99514,0.9965,0.995,0.99119,0.22353,0.19788,0.76464,0.000825332,0.000825332,0.000825332
53,453.939,0.2558,0.20614,0.82197,0.99893,0.9965,0.995,0.98601,0.22231,0.19959,0.76517,0.000808828,0.000808828,0.000808828
54,462.012,0.25623,0.20733,0.80849,0.99868,0.9965,0.995,0.99269,0.19105,0.19021,0.76417,0.000792325,0.000792325,0.000792325
55,470.418,0.25075,0.20575,0.81066,0.99618,0.9965,0.995,0.99163,0.20055,0.19821,0.76955,0.000775822,0.000775822,0.000775822
56,478.727,0.25783,0.20787,0.81829,0.99448,0.9965,0.995,0.99277,0.2024,0.19578,0.7652,0.000759318,0.000759318,0.000759318
57,487.199,0.24948,0.20339,0.80973,0.99531,0.99496,0.995,0.99332,0.1998,0.18647,0.76347,0.000742815,0.000742815,0.000742815
58,495.716,0.25165,0.20395,0.82297,0.99444,0.99629,0.99495,0.98651,0.21682,0.21575,0.76907,0.000726312,0.000726312,0.000726312
59,504.173,0.23941,0.19484,0.80505,0.99347,0.99563,0.995,0.99092,0.19684,0.19098,0.76636,0.000709809,0.000709809,0.000709809
60,512.776,0.24729,0.2029,0.81497,0.99447,0.9965,0.995,0.99052,0.20968,0.19378,0.76775,0.000693305,0.000693305,0.000693305
61,521.042,0.24327,0.19964,0.81436,0.99442,0.99614,0.995,0.99023,0.19942,0.18243,0.7693,0.000676802,0.000676802,0.000676802
62,528.886,0.24399,0.19555,0.81371,0.99456,0.99207,0.99498,0.99167,0.20318,0.1941,0.77189,0.000660299,0.000660299,0.000660299
63,536.731,0.2333,0.18864,0.80978,0.99521,0.9965,0.995,0.99151,0.20195,0.1878,0.7668,0.000643795,0.000643795,0.000643795
64,544.579,0.24128,0.19106,0.80991,0.9968,0.99647,0.995,0.9933,0.18524,0.18471,0.76322,0.000627292,0.000627292,0.000627292
65,552.904,0.23801,0.18952,0.80748,0.99907,0.99632,0.995,0.99034,0.20623,0.19169,0.77129,0.000610789,0.000610789,0.000610789
66,561.588,0.2354,0.19106,0.81353,0.99884,0.9965,0.995,0.99117,0.18928,0.18697,0.76636,0.000594286,0.000594286,0.000594286
67,569.439,0.22319,0.18361,0.81071,0.99863,0.9965,0.995,0.99346,0.1887,0.1788,0.76381,0.000577782,0.000577782,0.000577782
68,577.908,0.23139,0.18667,0.81137,0.99898,0.9965,0.995,0.99271,0.19161,0.19607,0.76755,0.000561279,0.000561279,0.000561279
69,585.741,0.22898,0.18693,0.81387,0.99904,0.9965,0.995,0.99239,0.19363,0.18733,0.76352,0.000544776,0.000544776,0.000544776
70,593.624,0.23537,0.19072,0.82004,0.99896,0.99642,0.995,0.99309,0.19554,0.18342,0.76273,0.000528272,0.000528272,0.000528272
71,602.342,0.23396,0.19148,0.81084,0.99681,0.99496,0.995,0.99186,0.18875,0.19395,0.76411,0.000511769,0.000511769,0.000511769
72,610.183,0.22753,0.18424,0.80881,0.9975,0.99574,0.995,0.9898,0.19803,0.17888,0.76222,0.000495266,0.000495266,0.000495266
73,618.037,0.22125,0.17838,0.81576,0.99855,0.9965,0.995,0.99188,0.18387,0.16776,0.76,0.000478762,0.000478762,0.000478762
74,625.87,0.22277,0.17579,0.80974,0.99521,0.9965,0.995,0.99224,0.18859,0.18215,0.76186,0.000462259,0.000462259,0.000462259
75,633.71,0.22103,0.17577,0.80988,0.99779,0.99562,0.995,0.99305,0.18674,0.17829,0.76569,0.000445756,0.000445756,0.000445756
76,642.219,0.22743,0.1776,0.8117,0.99915,0.9958,0.995,0.99355,0.19227,0.17364,0.76426,0.000429253,0.000429253,0.000429253
77,650.557,0.21709,0.17238,0.80446,0.99874,0.9965,0.995,0.99272,0.18682,0.17676,0.76262,0.000412749,0.000412749,0.000412749
78,658.403,0.21246,0.1713,0.79661,0.9991,0.9965,0.995,0.99264,0.18006,0.17034,0.76294,0.000396246,0.000396246,0.000396246
79,666.246,0.21169,0.16889,0.79741,0.99861,0.99629,0.995,0.99275,0.185,0.17289,0.76507,0.000379743,0.000379743,0.000379743
80,674.085,0.20939,0.17052,0.80007,0.99884,0.99639,0.995,0.99235,0.18186,0.17072,0.76469,0.000363239,0.000363239,0.000363239
